GDPC1,CPIAUCSL,UNRATE,FEDFUNDS,CIVPART,INDPRO,TOTALSA,DSPIC96,PCE,DGS10,CPALTT01USM657N
18962.175,255.211,3.6,2.42,62.9,102.3826,16.898,14811.8,14272.6,2.51,0.529500161289074
,255.29,3.7,2.39,62.9,102.5756,17.725,14814.7,14322.1,2.14,0.212875858938411
,255.159,3.6,2.38,63.0,102.5928,17.68,14841.3,14376.6,2.0,0.0199147181481604
19130.932,255.685,3.7,2.4,63.1,102.2012,17.551,14871.8,14448.3,2.02,0.167094162245338
,256.059,3.7,2.13,63.1,102.9086,17.635,14960.3,14487.0,1.5,-0.0050668236082818
,256.511,3.5,2.04,63.2,102.579,17.77,15000.7,14511.2,1.68,0.0783448576930001
19215.691,257.244,3.6,1.83,63.3,101.7775,17.425,15022.4,14554.2,1.69,0.228619055223
,257.803,3.6,1.55,63.3,102.0979,17.645,15084.2,14613.8,1.78,-0.0536243034669465
,258.616,3.6,1.55,63.3,101.7632,17.54,15018.1,14689.2,1.92,-0.0909769525053793
18989.877,259.037,3.5,1.55,63.3,101.303,17.314,15149.7,14728.8,1.51,0.387976993781487
,259.248,3.5,1.58,63.3,101.7038,17.061,15232.8,14785.7,1.13,0.274061813149543
,258.124,4.4,0.65,62.6,97.8746,11.68,15008.5,13806.0,0.7,-0.217645103178479
17378.712,256.092,14.7,0.05,60.1,84.959,8.923,17246.2,12082.4,0.64,-0.668694186699718
,255.868,13.2,0.05,60.8,86.3345,12.328,16423.4,13129.4,0.65,0.0019501616684046
,256.986,11.0,0.08,61.5,91.7523,13.271,16272.5,13937.5,0.66,0.547204692777511
18743.72,258.278,10.2,0.09,61.5,95.2439,15.075,16372.2,14230.1,0.55,0.505824350167009
,259.411,8.4,0.1,61.7,96.1173,15.704,15739.2,14352.8,0.72,0.315321052408127
,260.029,7.9,0.09,61.4,96.0711,16.692,15799.7,14583.3,0.69,0.13927469432666
18924.262,260.286,6.9,0.09,61.7,96.825,17.084,15729.1,14626.1,0.88,0.0414937759336148
,260.813,6.7,0.09,61.5,97.1183,16.492,15522.5,14561.0,0.84,-0.0610627217844138
,262.035,6.7,0.09,61.5,98.138,16.927,15536.5,14571.1,0.93,0.0941478467042597
19216.224,262.65,6.3,0.09,61.3,99.2645,17.327,17099.2,14932.2,1.11,0.425378348702726
,263.638,6.2,0.08,61.4,96.2231,16.106,15662.7,14843.2,1.44,0.547438279392344
,264.914,6.1,0.07,61.5,98.8621,18.223,19213.9,15619.1,1.74,0.708327313374951
19544.248,266.67,6.1,0.07,61.6,99.0246,18.655,16264.7,15712.6,1.65,0.821890915406006
,268.444,5.8,0.06,61.5,99.7785,17.177,15790.4,15767.9,1.58,0.80171051547627
,270.559,5.9,0.08,61.7,100.1923,15.757,15708.6,15960.1,1.45,0.929066290235704
19672.594,271.764,5.4,0.1,61.8,100.8724,15.067,15821.9,16027.9,1.24,0.481052352629404
,272.87,5.2,0.09,61.7,100.837,13.486,15802.4,16146.0,1.3,0.206591136361161
,274.028,4.8,0.08,61.7,99.8498,12.731,15580.2,16268.0,1.52,0.271597085905821
20006.181,276.522,4.5,0.08,61.8,101.3602,13.662,15584.9,16473.7,1.55,0.830811855200318
,278.711,4.2,0.08,61.9,101.961,13.542,15543.5,16557.9,1.43,0.491342750434762
,280.887,3.9,0.08,62.0,101.7587,13.172,15483.6,16522.4,1.52,0.307251716148357
19924.088,282.599,4.0,0.08,62.2,102.146,15.55,15137.7,16725.6,1.79,0.841457378354523
,284.61,3.8,0.08,62.2,102.8987,14.166,15125.6,16844.5,1.83,0.913397925647697
,287.472,3.6,0.2,62.4,103.5717,14.007,15064.1,17054.2,2.32,1.33513795485627
19895.271,288.611,3.6,0.33,62.2,104.2709,14.739,15055.2,17115.6,2.89,0.558253102565497
,291.268,3.6,0.77,62.3,104.1646,13.043,15036.4,17231.1,2.85,1.10235239995988
,294.728,3.6,1.21,62.2,103.9464,13.52,14973.1,17437.4,2.98,1.37360757588199
20054.663,294.628,3.5,1.68,62.1,104.4824,13.805,15100.2,17420.3,2.67,-0.0118119138337545
,295.32,3.7,2.33,62.3,104.3697,13.738,15149.6,17550.9,3.15,-0.0354399276350673
,296.539,3.5,2.56,62.3,104.574,14.113,15172.2,17656.8,3.83,0.215078451300104
20187.495,297.987,3.7,3.08,62.2,104.5927,15.773,15275.4,17788.6,4.1,0.405649443411221
,298.598,3.6,3.78,62.2,103.9846,14.851,15323.4,17761.4,3.68,-0.101002644188814
,298.99,3.5,4.1,62.3,102.9256,13.875,15354.7,17738.2,3.88,-0.307009146454112
